phase,hand,reward,cumulative,win_rate,qtable_size
aggressive,37,-0.1,-1003.1000000000003,0.08108108108108109,9
aggressive,38,0.0,-1003.1000000000003,0.07894736842105263,9
aggressive,39,-10.1,-1013.2000000000003,0.07692307692307693,9
aggressive,40,-0.1,-1013.3000000000003,0.075,9
aggressive,41,627.6,-385.7000000000003,0.0975609756097561,9
aggressive,42,-0.1,-385.8000000000003,0.09523809523809523,9
aggressive,43,1213.6,827.7999999999996,0.11627906976744186,9
aggressive,44,-0.1,827.6999999999996,0.11363636363636363,10
aggressive,45,-29.7,797.9999999999995,0.1111111111111111,10
aggressive,46,-20.1,777.8999999999995,0.10869565217391304,10
aggressive,47,-0.1,777.7999999999995,0.10638297872340426,10
aggressive,48,-0.1,777.6999999999995,0.10416666666666667,10
aggressive,49,-19.4,758.2999999999995,0.10204081632653061,11
aggressive,50,181.6,939.8999999999995,0.12,12
aggressive,51,-10.1,929.7999999999995,0.11764705882352941,12
aggressive,52,927.1,1856.8999999999996,0.1346153846153846,12
aggressive,53,-499.9,1356.9999999999995,0.1320754716981132,12
aggressive,54,-20.1,1336.8999999999996,0.12962962962962962,12
aggressive,55,-20.1,1316.7999999999997,0.12727272727272726,12
aggressive,56,0.0,1316.7999999999997,0.125,13
aggressive,57,-797.7,519.0999999999997,0.12280701754385964,13
aggressive,58,0.2,519.2999999999997,0.13793103448275862,13
aggressive,59,-1802.7,-1283.4000000000003,0.13559322033898305,13
aggressive,60,150.6,-1132.8000000000004,0.15,13
aggressive,61,279.6,-853.2000000000004,0.16393442622950818,13
aggressive,62,-515.4,-1368.6000000000004,0.16129032258064516,13
aggressive,63,0.0,-1368.6000000000004,0.15873015873015872,13
aggressive,64,0.0,-1368.6000000000004,0.15625,13
aggressive,65,0.0,-1368.6000000000004,0.15384615384615385,13
aggressive,66,0.0,-1368.6000000000004,0.15151515151515152,13
aggressive,67,0.1,-1368.5000000000005,0.16417910447761194,13
aggressive,68,0.1,-1368.4000000000005,0.17647058823529413,13
aggressive,69,0.0,-1368.4000000000005,0.17391304347826086,13
aggressive,70,0.0,-1368.4000000000005,0.17142857142857143,13
aggressive,71,0.0,-1368.4000000000005,0.16901408450704225,13
aggressive,72,0.0,-1368.4000000000005,0.16666666666666666,13
aggressive,73,0.1,-1368.3000000000006,0.1780821917808219,13
aggressive,74,0.1,-1368.2000000000007,0.1891891891891892,13
aggressive,75,0.0,-1368.2000000000007,0.18666666666666668,13
aggressive,76,0.0,-1368.2000000000007,0.18421052631578946,13
aggressive,77,0.0,-1368.2000000000007,0.18181818181818182,13
aggressive,78,0.1,-1368.1000000000008,0.19230769230769232,13
aggressive,79,0.0,-1368.1000000000008,0.189873417721519,13
aggressive,80,0.1,-1368.000000000001,0.2,13
aggressive,81,0.0,-1368.000000000001,0.19753086419753085,13
aggressive,82,0.0,-1368.000000000001,0.1951219512195122,13
aggressive,83,0.1,-1367.900000000001,0.20481927710843373,13
aggressive,84,0.30000000000000004,-1367.600000000001,0.21428571428571427,13
aggressive,85,0.0,-1367.600000000001,0.21176470588235294,13
aggressive,86,0.0,-1367.600000000001,0.20930232558139536,13
aggressive,87,0.1,-1367.5000000000011,0.21839080459770116,13
aggressive,88,0.0,-1367.5000000000011,0.2159090909090909,13
aggressive,89,0.0,-1367.5000000000011,0.21348314606741572,13
aggressive,90,0.1,-1367.4000000000012,0.2222222222222222,13
aggressive,91,0.0,-1367.4000000000012,0.21978021978021978,13
aggressive,92,0.0,-1367.4000000000012,0.21739130434782608,13
aggressive,93,0.0,-1367.4000000000012,0.21505376344086022,13
aggressive,94,0.0,-1367.4000000000012,0.2127659574468085,13
aggressive,95,0.0,-1367.4000000000012,0.21052631578947367,13
aggressive,96,0.6000000000000001,-1366.8000000000013,0.21875,13
aggressive,97,0.1,-1366.7000000000014,0.2268041237113402,13
aggressive,98,0.6000000000000001,-1366.1000000000015,0.23469387755102042,13
aggressive,99,0.0,-1366.1000000000015,0.23232323232323232,13
aggressive,100,0.1,-1366.0000000000016,0.24,13
aggressive,101,0.0,-1366.0000000000016,0.2376237623762376,13
aggressive,102,0.0,-1366.0000000000016,0.23529411764705882,13
aggressive,103,0.6000000000000001,-1365.4000000000017,0.24271844660194175,13
